Date,Open,High,Low,Close,Volume,Adj Close
2023-03-16,128.00999450683594,131.9499969482422,126.0199966430664,130.75,24558500,121.78125
2023-03-17,128.3800048828125,128.47999572753906,125.44999694824219,125.80999755859375,38396000,117.18011474609375
2023-03-20,126.98999786376953,129.47000122070312,126.01000213623047,127.13999938964844,22875500,118.41887664794922
2023-03-21,130.58999633789062,131.72999572753906,130.19000244140625,130.5500030517578,17807800,121.59497833251953
2023-03-22,130.55999755859375,130.66000366210938,127.08000183105469,127.18000030517578,17250200,118.45613861083984
2023-03-23,127.9000015258789,129.52999877929688,126.0199966430664,126.83999633789062,16677600,118.13947296142578
2023-03-24,125.62999725341797,125.68000030517578,123.11000061035156,124.91000366210938,22311100,116.34185791015625
2023-03-27,126.79000091552734,129.3800048828125,126.29000091552734,128.49000549316406,18853900,119.6762924194336
2023-03-28,128.7100067138672,129.33999633789062,127.73999786376953,128.8800048828125,10820500,120.0395278930664
2023-03-29,130.10000610351562,130.22000122070312,127.7699966430664,129.13999938964844,14595300,120.28169250488281
2023-03-30,129.9499969482422,130.1199951171875,127.6500015258789,128.75,12134700,119.91845703125
2023-03-31,129.66000366210938,130.33999633789062,128.85000610351562,130.30999755859375,13105200,121.3714370727539
2023-04-03,129.91000366210938,131.44000244140625,129.41000366210938,130.16000366210938,11775400,121.23172760009766
2023-04-04,130.5,130.58999633789062,127.41000366210938,128.4199981689453,11579900,119.61107635498047
2023-04-05,126.80000305175781,128.14999389648438,126.45999908447266,127.61000061035156,9614700,119.78944396972656
2023-04-06,127.0,128.0800018310547,126.86000061035156,127.47000122070312,8760200,119.65802764892578
2023-04-10,126.54000091552734,128.22999572753906,126.22000122070312,127.88999938964844,9477300,120.05227661132812
2023-04-11,128.3000030517578,128.94000244140625,127.54000091552734,128.52000427246094,10516300,120.6436767578125
2023-04-12,129.17999267578125,130.42999267578125,128.05999755859375,128.5,11821000,120.62489318847656
2023-04-13,128.4600067138672,129.0399932861328,126.83000183105469,128.99000549316406,12450200,121.08487701416016
2023-04-14,135.14999389648438,139.1199951171875,134.89999389648438,138.72999572753906,43931300,130.2279510498047
2023-04-17,139.9499969482422,140.05999755859375,137.66000366210938,139.8300018310547,16050500,131.2605438232422
2023-04-18,140.27000427246094,141.77999877929688,139.02999877929688,141.39999389648438,13760100,132.73431396484375
2023-04-19,141.22999572753906,141.5,140.39999389648438,141.22000122070312,9158100,132.5653533935547
2023-04-20,139.91000366210938,141.42999267578125,139.83999633789062,140.80999755859375,10586200,132.1804656982422
2023-04-21,139.74000549316406,141.11000061035156,138.77999877929688,140.5399932861328,11842500,131.92703247070312
2023-04-24,140.4600067138672,141.10000610351562,140.0399932861328,140.72999572753906,7567500,132.10536193847656
2023-04-25,139.60000610351562,139.9600067138672,137.6300048828125,137.6699981689453,10629300,129.23291015625
2023-04-26,137.6199951171875,137.80999755859375,134.0,135.22999572753906,14416100,126.94245147705078
2023-04-27,136.0,137.91000366210938,135.66000366210938,137.0500030517578,9041100,128.65090942382812
2023-04-28,136.55999755859375,138.32000732421875,135.6699981689453,138.24000549316406,9887300,129.7679901123047
2023-05-01,142.25999450683594,143.3699951171875,140.8300018310547,141.1999969482422,20415800,132.54660034179688
2023-05-02,141.39999389648438,142.41000366210938,138.42999267578125,138.9199981689453,14113400,130.4062957763672
2023-05-03,138.44000244140625,138.6699981689453,135.75999450683594,135.97999572753906,12930900,127.64647674560547
2023-05-04,134.9600067138672,135.72000122070312,131.80999755859375,134.1199951171875,17089200,125.90046691894531
2023-05-05,136.44000244140625,137.8800048828125,135.91000366210938,136.74000549316406,11261400,128.35987854003906
2023-05-08,137.49000549316406,137.97000122070312,136.47999572753906,137.07000732421875,7484900,128.66969299316406
2023-05-09,135.92999267578125,136.9499969482422,135.2100067138672,136.41000366210938,7343600,128.05015563964844
2023-05-10,137.9499969482422,138.05999755859375,134.8699951171875,136.47999572753906,8133400,128.1158447265625
2023-05-11,135.0,136.80999755859375,134.89999389648438,136.0500030517578,7057300,127.7121810913086
2023-05-12,136.82000732421875,136.99000549316406,133.1300048828125,134.10000610351562,9988600,125.88169860839844
