epoch,train_loss,val_loss,train_acc,val_acc,model_type
1,1.110174492427281,1.093548059463501,0.17142857142857143,0.42857142857142855,multimodal
2,1.0995961802346366,1.0951029062271118,0.34285714285714286,0.42857142857142855,multimodal
3,1.0907594817025321,1.097448706626892,0.34285714285714286,0.2857142857142857,multimodal
4,1.1032094887324742,1.0990490913391113,0.2857142857142857,0.2857142857142857,multimodal
5,1.1006702286856516,1.0993059873580933,0.2571428571428571,0.2857142857142857,multimodal
6,1.0946231944220406,1.0990421772003174,0.37142857142857144,0.2857142857142857,multimodal
7,1.1025162492479597,1.0990818738937378,0.2571428571428571,0.2857142857142857,multimodal
8,1.1053504126412528,1.0988210439682007,0.17142857142857143,0.2857142857142857,multimodal
9,1.0986004863466536,1.098919153213501,0.34285714285714286,0.42857142857142855,multimodal
10,1.1023405551910401,1.100063443183899,0.37142857142857144,0.2857142857142857,multimodal
11,1.0943603072847639,1.1004359722137451,0.42857142857142855,0.2857142857142857,multimodal
1,1.1158358028956823,1.1123543977737427,0.34285714285714286,0.2857142857142857,finance_only
2,1.1205990621021815,1.1090160608291626,0.2571428571428571,0.2857142857142857,finance_only
3,1.095525792666844,1.1034009456634521,0.3142857142857143,0.2857142857142857,finance_only
4,1.1099707160677228,1.0988808870315552,0.3142857142857143,0.2857142857142857,finance_only
5,1.109978117261614,1.0955040454864502,0.2857142857142857,0.5714285714285714,finance_only
6,1.0908392667770386,1.0948050022125244,0.3142857142857143,0.42857142857142855,finance_only
7,1.1079710858208793,1.0957744121551514,0.2857142857142857,0.2857142857142857,finance_only
8,1.0847435440335955,1.099021315574646,0.45714285714285713,0.2857142857142857,finance_only
9,1.0876039607184274,1.1041858196258545,0.4,0.2857142857142857,finance_only
10,1.101926725251334,1.1062557697296143,0.22857142857142856,0.2857142857142857,finance_only
11,1.0920063461576188,1.1084243059158325,0.3142857142857143,0.2857142857142857,finance_only
12,1.0828265087945121,1.111539602279663,0.37142857142857144,0.2857142857142857,finance_only
13,1.0815864426749093,1.1151068210601807,0.37142857142857144,0.2857142857142857,finance_only
14,1.128423363821847,1.115247130393982,0.22857142857142856,0.2857142857142857,finance_only
15,1.0866076231002808,1.1140949726104736,0.4,0.2857142857142857,finance_only
16,1.106065215383257,1.112503170967102,0.3142857142857143,0.2857142857142857,finance_only
